"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/AboveAverage.java","3","15","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"2","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/AboveAverage.java","5","29","Found 'DU'-anomaly for variable 'reader' (lines '29'-'65').","Controversial Rules","DataflowAnomalyAnalysis"
"3","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/AboveAverage.java","3","29","Local variable 'reader' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"4","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/AboveAverage.java","3","32","Local variable 'list' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"5","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/AboveAverage.java","5","34","Found 'DD'-anomaly for variable 'line' (lines '34'-'36').","Controversial Rules","DataflowAnomalyAnalysis"
"6","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/AboveAverage.java","5","34","Found 'DU'-anomaly for variable 'line' (lines '34'-'65').","Controversial Rules","DataflowAnomalyAnalysis"
"7","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/AboveAverage.java","5","50","Found 'DD'-anomaly for variable 'cnt' (lines '50'-'52').","Controversial Rules","DataflowAnomalyAnalysis"
"8","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/AboveAverage.java","5","52","Found 'DD'-anomaly for variable 'cnt' (lines '52'-'52').","Controversial Rules","DataflowAnomalyAnalysis"
"9","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/AboveAverage.java","2","61","System.out.print is used","Java Logging Rules","SystemPrintln"
"10","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/LikeMedian.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"11","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/LikeMedian.java","3","18","Private field 'list' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"12","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/LikeMedian.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"13","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/LikeMedian.java","3","37","Parameter 'object' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"14","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/LikeMedian.java","3","52","Avoid variables with short names like o1","Naming Rules","ShortVariable"
"15","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/LikeMedian.java","3","52","Avoid variables with short names like o2","Naming Rules","ShortVariable"
"16","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/LikeMedian.java","3","52","Parameter 'o1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"17","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/LikeMedian.java","3","52","Parameter 'o2' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"18","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/Names.java","3","19","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"19","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/Names.java","3","28","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"20","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/Names.java","2","31","System.out.print is used","Java Logging Rules","SystemPrintln"
"21","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/Names.java","3","33","System.exit() should not be used in J2EE/JEE apps","J2EE Rules","DoNotCallSystemExit"
"22","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/Names.java","3","36","Local variable 'file1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"23","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/Names.java","3","37","Local variable 'file2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"24","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/Names.java","3","39","Local variable 'file1Set' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"25","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/Names.java","5","40","Found 'DU'-anomaly for variable 'file2Set' (lines '40'-'50').","Controversial Rules","DataflowAnomalyAnalysis"
"26","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/Names.java","3","40","Local variable 'file2Set' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"27","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/Names.java","2","44","System.out.print is used","Java Logging Rules","SystemPrintln"
"28","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/Names.java","3","59","Parameter 'filename' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"29","hr.fer.zemris.java.tecaj_3","src/main/java/hr/fer/zemris/java/tecaj_3/Names.java","3","60","Avoid variables with short names like br","Naming Rules","ShortVariable"
